,법정동코드,법정동명,지번,지목명,용도지역명1,용도지역명2,토지면적,데이터기준일자,주소,좌표정보(X),좌표정보(Y)
24,1159010600,서울특별시 동작구 동작동,Jan-88,전,제1종일반주거지역,자연녹지지역,155,2019-08-08,서울특별시 동작구 동작동 88-1,37.49859594,126.9840574
25,1159010600,서울특별시 동작구 동작동,Dec-90,대,제1종일반주거지역,자연녹지지역,162,2019-08-08,서울특별시 동작구 동작동 90-12,37.49868211,126.9824262
26,1159010600,서울특별시 동작구 동작동,108-7,하천,제1종일반주거지역,자연녹지지역,1268,2019-08-08,서울특별시 동작구 동작동 108-7,37.49728998,126.9796829
27,1159010600,서울특별시 동작구 동작동,124-2,도로,제1종일반주거지역,자연녹지지역,33,2019-08-08,서울특별시 동작구 동작동 124-2,37.50179367,126.9792473
28,1159010600,서울특별시 동작구 동작동,126-3,도로,제1종일반주거지역,자연녹지지역,559,2019-08-08,서울특별시 동작구 동작동 126-3,37.50155487,126.9811667
29,1159010600,서울특별시 동작구 동작동,127-2,도로,제1종일반주거지역,자연녹지지역,112,2019-08-08,서울특별시 동작구 동작동 127-2,37.50170361,126.980547
30,1159010600,서울특별시 동작구 동작동,127-6,도로,제1종일반주거지역,자연녹지지역,413,2019-08-08,서울특별시 동작구 동작동 127-6,37.5017472,126.9782815
31,1159010600,서울특별시 동작구 동작동,129-2,도로,제1종일반주거지역,자연녹지지역,1369,2019-08-08,서울특별시 동작구 동작동 129-2,37.48813203,126.9800747
32,1159010600,서울특별시 동작구 동작동,207-2,도로,제1종일반주거지역,자연녹지지역,96,2019-08-08,서울특별시 동작구 동작동 207-2,37.50358091,126.9754922
33,1159010600,서울특별시 동작구 동작동,326-1,하천,제1종일반주거지역,자연녹지지역,56744,2019-08-08,서울특별시 동작구 동작동 326-1,37.50388504,126.9794957
34,1159010600,서울특별시 동작구 동작동,10월 02일,임야,제1종일반주거지역,자연녹지지역,468,2019-08-08,서울특별시 동작구 동작동 10-2,37.4964718,126.9791426
35,1159010600,서울특별시 동작구 동작동,10월 04일,임야,제1종일반주거지역,자연녹지지역,201,2019-08-08,서울특별시 동작구 동작동 10-4,37.4948424,126.9739955
36,1159010600,서울특별시 동작구 동작동,10-41,임야,제1종일반주거지역,자연녹지지역,538,2019-08-08,서울특별시 동작구 동작동 10-41,37.4946217,126.9740087
37,1159010600,서울특별시 동작구 동작동,11월 04일,임야,제1종일반주거지역,자연녹지지역,165,2019-08-08,서울특별시 동작구 동작동 11-4,37.4952727,126.974062
38,1159010600,서울특별시 동작구 동작동,04월 20일,임야,제1종일반주거지역,자연녹지지역,3100,2019-08-08,서울특별시 동작구 동작동 20-4,37.496894,126.977117
39,1159010600,서울특별시 동작구 동작동,02월 25일,임야,제1종일반주거지역,자연녹지지역,1567,2019-08-08,서울특별시 동작구 동작동 25-2,37.4980471,126.978023
40,1159010600,서울특별시 동작구 동작동,26,임야,제1종일반주거지역,자연녹지지역,397,2019-08-08,서울특별시 동작구 동작동 26,37.4981634,126.9783449
41,1159010600,서울특별시 동작구 동작동,Jan-42,임야,제1종일반주거지역,자연녹지지역,2975,2019-08-08,서울특별시 동작구 동작동 42-1,37.49155432,126.9806156
42,1159010600,서울특별시 동작구 동작동,May-44,임야,제1종일반주거지역,자연녹지지역,694,2019-08-08,서울특별시 동작구 동작동 44-5,37.4938667,126.9765171
43,1159010600,서울특별시 동작구 동작동,Oct-44,임야,제1종일반주거지역,자연녹지지역,298,2019-08-08,서울특별시 동작구 동작동 44-10,37.4929058,126.9805367
44,1159010600,서울특별시 동작구 동작동,Jan-45,임야,제1종일반주거지역,자연녹지지역,4767,2019-08-08,서울특별시 동작구 동작동 45-1,37.49341249,126.977643
