No,표준ID,ARS-ID,정류장명,X좌표,Y좌표,비고,지번주소,도로명주소
7703,117900024,18796,길상마트,126.8937829891,37.4720667742,,서울특별시 금천구 독산동 297-21,서울특별시 금천구 가산로3길 33
7704,117900023,18797,가산디지털단지역1호선,126.8812103754,37.4809018605,,서울특별시 금천구 가산동 371-41,서울특별시 금천구 가산디지털1로 171
7705,116900305,18798,한국건설생활환경시험연구원,126.880092378,37.4833144645,,서울특별시 금천구 가산동 459-5,서울특별시 금천구 가산디지털1로 199
7706,117900022,18799,금천육교앞,126.8910913999,37.4546774487,,서울특별시 금천구 독산동 1094,서울특별시 금천구 금하로1길 70
7707,117900021,18800,빅마켓.청광아파트,126.8936133461,37.4705095093,,서울특별시 금천구 독산동 299-47,서울특별시 금천구 두산로 49
7708,117900222,18801,롯데캐슬2차,126.8936644999,37.4577469423,,서울특별시 금천구 독산동 1150,서울특별시 금천구 벚꽃로 30
7709,117900020,18802,문일고입구,126.9022458595,37.4509358821,,서울특별시 금천구 시흥동 1000-92,서울특별시 금천구 시흥대로 190
7710,117900019,18803,구립가산도서관.두산위브아파트,126.8923053067,37.4736405707,,서울특별시 금천구 가산동 153-18,서울특별시 금천구 가산로5길 37
7711,117900223,18804,롯데캐슬2차,126.893498203,37.4575084779,,서울특별시 금천구 시흥동 113-77,서울특별시 금천구 벚꽃로 30
7712,117900151,18805,진도2차아파트,126.8916126942,37.470193205,,서울특별시 금천구 독산동 333-4,서울특별시 금천구 두산로 32
7713,117900018,18806,한진택배,126.8808537832,37.4754651321,,서울특별시 금천구 가산동 371-23,서울특별시 금천구 가산디지털2로 83
7714,117900017,18807,LG전자,126.8902581746,37.4741297901,,서울특별시 금천구 가산동 237-101,서울특별시 금천구 가산로7길 63
7715,117900016,18808,금천구청역,126.8953638801,37.4560402756,,서울특별시 금천구 시흥동 1031-1,서울특별시 금천구 시흥대로73길 67
7716,117900015,18809,유창슈퍼,126.8927663012,37.4684945707,,서울특별시 금천구 독산동 1136,서울특별시 금천구 범안로17길 41
