,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y),지번주소,도로명주소,법정동
74,1127040,2015,열원시설,열공급시설,0,12209,0,동작구 흑석동105일대,37.50856741,126.9629645,서울특별시 동작구 흑석동 105,서울특별시 동작구 서달로15길 8-7,흑석동
75,1127041,2015,대규모점포및임시시장,시장,0,3192,0,동작구 흑석동105일대,37.50856741,126.9629645,서울특별시 동작구 흑석동 105,서울특별시 동작구 서달로15길 8-7,흑석동
76,1127042,2015,대규모점포및임시시장,시장,0,1221,0,동작구 사당동 318-8,37.48286376,126.9749851,서울특별시 동작구 사당동 318-8,서울특별시 동작구 사당로 244,사당동
77,1127043,2015,대규모점포및임시시장,시장,0,2220,0,동작구 사당동 318-8,37.48286376,126.9749851,서울특별시 동작구 사당동 318-8,서울특별시 동작구 사당로 244,사당동
78,1127044,2015,대규모점포및임시시장,시장,0,3192,0,동작구 상도동213-1일대,37.4968249,126.9427862,서울특별시 동작구 상도동 221-8,서울특별시 동작구 양녕로 167,상도동
79,1127045,2015,대규모점포및임시시장,시장,0,1635,0,동작구 신대방동361-66,37.49796881,126.9237345,서울특별시 동작구 신대방동 361-66,서울특별시 동작구 여의대방로22길 73,신대방동
80,1127046,2015,대규모점포및임시시장,시장,0,3518,0,동작구 사당동136-1일대,37.48687591,126.9816068,서울특별시 동작구 사당동 136-1,서울특별시 동작구 동작대로 115,사당동
81,1127047,2015,대규모점포및임시시장,시장,0,3688,0,동작구 사당동1038-37,37.47846186,126.9785156,서울특별시 동작구 사당동 1038-37,서울특별시 동작구 동작대로7길 64,사당동
82,1127048,2015,농수산물도매시장,시장,0,5100,0,동작구 노량진동16-3일대,37.51408442,126.9378142,서울특별시 동작구 노량진동 16-3,서울특별시 동작구 노들로2길 21,노량진동
83,1127049,2015,농수산물도매시장,시장,0,40178,0,동작구 노량진동13-8일대,37.51532501,126.94205900000001,서울특별시 동작구 노량진동 13-8,서울특별시 동작구 노들로 688,노량진동
84,1236674,2015,초등학교,강남초교,0,23421,0,상도1동 501,37.49532696,126.95543529999999,서울특별시 동작구 상도동 501,서울특별시 동작구 사당로 10,상도동
85,1236675,2015,초등학교,남사초교,0,12033,0,사당1동 1011-1,37.48234446,126.97886240000001,서울특별시 동작구 사당동 1011-1,서울특별시 동작구 동작대로13길 22,사당동
86,1236676,2015,초등학교,남성초교,0,17775,0,사당동 산27-5,37.4844685,126.97532520000001,서울특별시 동작구 사당동 324-24,서울특별시 동작구 사당로23길 57-14,사당동
87,1236677,2015,초등학교,노량진초교,0,12061,0,노량진동 238,37.511281,126.9385357,서울특별시 동작구 노량진동 246-63,서울특별시 동작구 장승배기로27길 26-12,노량진동
88,1236678,2015,초등학교,대림초교,0,8959,0,대방동 391-62,37.500626399999994,126.9256932,서울특별시 동작구 대방동 391-62,서울특별시 동작구 대방동1길 22,대방동
89,1236679,2015,초등학교,동작초교,0,11032,0,사당동 산9-1,37.49404496,126.97701040000001,서울특별시 동작구 사당동 산 9-1,서울특별시 동작구 동작대로29길 214,사당동
90,1236680,2015,초등학교,문창초교,0,15310,0,신대방동 639,37.4897018,126.9123179,서울특별시 동작구 신대방동 631-1,서울특별시 동작구 신대방2나길 21-2,신대방동
93,1236684,2015,초등학교,신남성초교,0,12274,0,사당동 199-1,37.48854685,126.9652861,서울특별시 동작구 사당동 199-1,서울특별시 동작구 사당로 146,사당동
94,1236685,2015,초등학교,신상도초교,0,14350,0,상도동 산65,37.5000468,126.9417581,서울특별시 동작구 상도동 202-6,서울특별시 동작구 양녕로29길 44,상도동
96,1236688,2015,초등학교,흑석초교,0,10827,0,흑석동 7-1,37.50860889,126.96515149999999,서울특별시 동작구 흑석동 7-1,서울특별시 동작구 현충로 87,흑석동
97,1236689,2015,초등학교,지운초교(미개설),0,5706,0,상도동 134-136,37.49489439999999,126.95073400000001,서울특별시 동작구 상도동 531,서울특별시 동작구 상도로 346-1,상도동
98,1236690,2015,초등학교,중대부속초교,0,12868,0,흑석동 233,37.5061297,126.9603504,서울특별시 동작구 흑석동 233,서울특별시 동작구 흑석로 102,흑석동
99,1236691,2015,초등학교,보라매초교,0,7299,0,신대방동 485,37.4955526,126.9142213,서울특별시 동작구 신대방동 492-200,서울특별시 동작구 여의대방로10길 24,신대방동
100,1236692,2015,초등학교,정금초교(삼일초교),0,7042,0,사당동 산18-34,37.48794779999999,126.9729826,서울특별시 동작구 사당동 164-74,서울특별시 동작구 사당로23길 112,사당동
101,1236693,2015,중학교,국사봉중학교,0,16722,0,상도동 214-437,37.49392269,126.9450308,서울특별시 동작구 상도동 214-437,서울특별시 동작구 양녕로22길 32-9,상도동
102,1236694,2015,중학교,남성중학교,0,9157,0,사당동 304-45,37.47883225,126.9723845,서울특별시 동작구 사당동 304-45,서울특별시 동작구 남부순환로269길 166,사당동
103,1236695,2015,중학교,동작중학교,0,14905,0,동작동 59-1,37.49502161,126.97727240000002,서울특별시 동작구 동작동 59-1,서울특별시 동작구 동작대로39가길 83,동작동
104,1236696,2015,중학교,문창중학교,0,9571,0,신대방동 364-58,37.49580305,126.92179499999999,서울특별시 동작구 신대방동 364-58,서울특별시 동작구 여의대방로22나길 40,신대방동
105,1236697,2015,중학교,사당중학교,0,12512,0,사당동 209-16,37.48752759,126.9690137,서울특별시 동작구 사당동 209-16,서울특별시 동작구 사당로9가길 58,사당동
106,1236698,2015,중학교,상도중학교,0,20010,0,사당동 181-20,37.490382399999994,126.96153290000001,서울특별시 동작구 사당동 181-20,서울특별시 동작구 사당로2가길 72,사당동
107,1236699,2015,중학교,장승중학교,0,10710,0,상도동 175-1,37.50333533,126.9405967,서울특별시 동작구 상도동 175-1,서울특별시 동작구 장승배기로10가길 25,상도동
108,1236700,2015,중학교,강현중학교,0,15398,0,상도동 335-5,37.50311268,126.9311044,서울특별시 동작구 상도동 335-5,서울특별시 동작구 상도로13라길 22,상도동
109,1236701,2015,중학교,대방여자중,0,13977,0,신대방동 492-200,37.49515406,126.9137645,서울특별시 동작구 신대방동 492-200,서울특별시 동작구 여의대방로10길 24,신대방동
110,1236702,2015,중학교,상현중학교,0,20000,0,상도동 111-52,37.49414042,126.96128909999999,서울특별시 동작구 상도동 111-52,서울특별시 동작구 사당로2길 2-19,상도동
111,1236704,2015,중학교,중대부속남·여중·고교,0,16372,0,흑석동 86,37.50442011,126.9613625,서울특별시 동작구 흑석동 86,서울특별시 동작구 서달로 124,흑석동
112,1236705,2015,중학교,학교,0,0,0,흑석동 60일대,37.50424412,126.9647396,서울특별시 동작구 흑석동 60,서울특별시 동작구 서달로12길 97-6,흑석동
113,1236706,2015,고등학교,"동작고교,행림초교",0,28339,0,사당동 236-4,37.48217181,126.966059,서울특별시 동작구 사당동 236-4,서울특별시 동작구 솔밭로 61-6,사당동
114,1236707,2015,고등학교,수도여고,0,17388,0,신대방동 470-13,37.49304934,126.9155622,서울특별시 동작구 신대방동 470-13,서울특별시 동작구 여의대방로10길 73,신대방동
115,1236708,2015,고등학교,"영화초,영등포중·고교",0,47390,0,대방동 13-2,37.50823103,126.93364150000001,서울특별시 동작구 대방동 13-2,서울특별시 동작구 등용로8길 5,대방동
