No,개방서비스명,소재지전체주소,도로명전체주소,사업장명,좌표정보(X),좌표정보(Y),지번주소,도로명주소
174,대기오염물질배출시설설치사업장,서울특별시 동작구 상도동 511번지 ,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)",숭실대학교,37.49635423,126.957222,서울특별시 동작구 상도동 511,서울특별시 동작구 상도로 369
175,대기오염물질배출시설설치사업장,서울특별시 동작구 흑석동 221번지 ,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교)",중앙대학교,37.50439667,126.9563901,서울특별시 동작구 흑석동 221,서울특별시 동작구 흑석로 84
176,대기오염물질배출시설설치사업장,서울특별시 동작구 노량진동 312-6번지 ,"서울특별시 동작구 장승배기로 113 (노량진동, 장성빌딩)",장성그랜드사우나,37.50783191,126.9395745,서울특별시 동작구 노량진동 312-6,서울특별시 동작구 장승배기로 113
177,대기오염물질배출시설설치사업장,서울특별시 동작구 대방동 70-1번지 ,서울특별시 동작구 노량진로 53 (대방동),현대자동차(주)남부사업소,37.51399651,126.9327625,서울특별시 동작구 대방동 70-1,서울특별시 동작구 노량진로 53
178,대기오염물질배출시설설치사업장,서울특별시 동작구 대방동 397-2번지 ,서울특별시 동작구 대방동27길 114 (대방동),범한택시여객자동차(주),37.50004962,126.9239105,서울특별시 동작구 대방동 397-2,서울특별시 동작구 대방동27길 114
179,대기오염물질배출시설설치사업장,서울특별시 동작구 노량진동 1-5번지 동작구 환경지원센터 ,"서울특별시 동작구 노들로 756, 동작구 환경지원센터 (노량진동)",동작구청(환경지원센터),37.5164225,126.9472097,서울특별시 동작구 노량진동 1-5,서울특별시 동작구 노들로 756
180,대기오염물질배출시설설치사업장,서울특별시 동작구 신대방동 395번지 ,,서울시공원녹지관리사업소,37.4932342,126.9175228,서울특별시 동작구 신대방동 460-18,서울특별시 동작구 여의대방로16길 61
181,대기오염물질배출시설설치사업장,서울특별시 동작구 상도동 105번지 극동아파트 ,서울특별시 동작구 동작대로29길 119 (사당동),(주)GIMCO,37.4897954,126.9738337,서울특별시 동작구 사당동 1157,서울특별시 동작구 사당로27길 130
182,대기오염물질배출시설설치사업장,서울특별시 동작구 대방동 501번지 ,서울특별시 동작구 여의대방로44길 10 (대방동),대방대림아파트,37.50729466,126.9247117,서울특별시 동작구 대방동 501,서울특별시 동작구 여의대방로44길 10
183,대기오염물질배출시설설치사업장,서울특별시 동작구 사당동 105번지 ,,사당 신동아 4단지아파트,37.48969463,126.9756501,서울특별시 동작구 사당동 105,서울특별시 동작구 동작대로29길 115
184,대기오염물질배출시설설치사업장,서울특별시 동작구 상도동 414번지 ,서울특별시 동작구 만양로 26 (상도동),상도건영아파트,37.50716796,126.949774,서울특별시 동작구 상도동 414,서울특별시 동작구 만양로 26
185,대기오염물질배출시설설치사업장,서울특별시 동작구 사당동 신동아아파트 4단지 기계실 ,서울특별시 동작구 동작대로29길 110 (사당동),(주)GIMCO,37.4897954,126.9738337,서울특별시 동작구 사당동 1157,서울특별시 동작구 사당로27길 130
186,대기오염물질배출시설설치사업장,서울특별시 동작구 신대방동 395-70번지 ,"서울특별시 동작구 보라매로5길 15 (신대방동, 전문건설회관빌딩)",전문건설공제조합,37.49200268,126.9242586,서울특별시 동작구 신대방동 395-61,서울특별시 동작구 보라매로5길 15
187,대기오염물질배출시설설치사업장,서울특별시 동작구 신대방동 370-1번지 ,"서울특별시 동작구 여의대방로 112 (신대방동, 농심신대방사옥)",(주)농심,37.4966949,126.9194187,서울특별시 동작구 신대방동 370-1,서울특별시 동작구 여의대방로 112
188,대기오염물질배출시설설치사업장,서울특별시 동작구 대방동 49-6번지 ,"서울특별시 동작구 노량진로 74 (대방동, 유한양행빌딩)",(주)유한양행,37.51270287,126.9331253,서울특별시 동작구 대방동 49-6,서울특별시 동작구 노량진로 74
189,대기오염물질배출시설설치사업장,서울특별시 동작구 노량진동 47-2번지 ,"서울특별시 동작구 장승배기로 161 (노량진동, 동작구청)",서울특별시동작구청,37.51226793,126.9394288,서울특별시 동작구 노량진동 47-2,서울특별시 동작구 장승배기로 161
190,대기오염물질배출시설설치사업장,서울특별시 동작구 동작동 산 4-2번지 ,,경문고등학교,37.49308079,126.9816294,서울특별시 동작구 동작동 산 4-2,서울특별시 동작구 동작대로 171
191,대기오염물질배출시설설치사업장,서울특별시 동작구 흑석동 221번지 ,,중앙대학교,37.50439667,126.9563901,서울특별시 동작구 흑석동 221,서울특별시 동작구 흑석로 84
192,대기오염물질배출시설설치사업장,,"서울특별시 동작구 시흥대로 596 (신대방동, 신라스테이해링턴타워)",신라스테이 주식회사,37.48562827,126.9043105,서울특별시 동작구 신대방동 698,서울특별시 동작구 시흥대로 596
193,대기오염물질배출시설설치사업장,,"서울특별시 동작구 흑석로 102 (흑석동, 중앙대학교병원)",중앙대학교병원,37.50603801,126.9604218,서울특별시 동작구 흑석동 233,서울특별시 동작구 흑석로 102
194,대기오염물질배출시설설치사업장,,"서울특별시 동작구 노들로 688 (노량진동, 한냉카센타)",수협노량진수산(주),37.51501192,126.9445243,서울특별시 동작구 노량진동 2-3,서울특별시 동작구 노들로 688
195,대기오염물질배출시설설치사업장,,"서울특별시 동작구 보라매로5길 51 (신대방동, 롯데타워)",롯데타워업무시설관리단대표회의,37.49094201,126.9232712,서울특별시 동작구 신대방동 395-67,서울특별시 동작구 보라매로5길 51
196,대기오염물질배출시설설치사업장,,"서울특별시 동작구 보라매로5길 20 (신대방동, 서울특별시보라매병원)",서울특별시보라매병원,37.49301375,126.9243325,서울특별시 동작구 신대방동 425,서울특별시 동작구 보라매로5길 20
197,대기오염물질배출시설설치사업장,서울특별시 동작구 노량진동 46-6   번지 ,,대성출판(주),37.51291545,126.9393592,서울특별시 동작구 노량진동 46-6,서울특별시 동작구 노량진로 120
198,대기오염물질배출시설설치사업장,서울특별시 동작구 대방동 70-1   번지 ,,현대자동차(주)남부사업소,37.51399651,126.9327625,서울특별시 동작구 대방동 70-1,서울특별시 동작구 노량진로 53
199,단란주점영업,서울특별시 동작구 상도동 26-36번지 ,서울특별시 동작구 상도로 210 (상도동),샤방샤방,37.50504302,126.9420705,서울특별시 동작구 상도동 26-36,서울특별시 동작구 상도로 210
200,단란주점영업,서울특별시 동작구 대방동 400-5번지 ,서울특별시 동작구 여의대방로24가길 31 (대방동),샤인,37.49969188,126.9208314,서울특별시 동작구 대방동 400-5,서울특별시 동작구 상도로 4
201,단란주점영업,서울특별시 동작구 상도동 346-9번지 ,서울특별시 동작구 성대로1길 1 (상도동),엣지,37.50033555,126.9324265,서울특별시 동작구 상도동 346-9,서울특별시 동작구 성대로1길 1
202,단란주점영업,"서울특별시 동작구 사당동 133-17번지 ,20 ",서울특별시 동작구 동작대로27길 6 (사당동),코비주점,37.48779331,126.9815911,서울특별시 동작구 사당동 133-17,서울특별시 동작구 동작대로27길 6
203,단란주점영업,서울특별시 동작구 사당동 321-5번지 ,서울특별시 동작구 사당로22길 4 (사당동),싱글주점,37.4832672,126.9765731,서울특별시 동작구 사당동 321-5,서울특별시 동작구 사당로22길 4
204,단란주점영업,서울특별시 동작구 신대방동 347-25번지 ,서울특별시 동작구 여의대방로24길 134 (신대방동),친한친구,37.49905994,126.9274742,서울특별시 동작구 신대방동 347-25,서울특별시 동작구 여의대방로24길 134
205,단란주점영업,서울특별시 동작구 사당동 1044-28번지 (지하1층) ,"서울특별시 동작구 동작대로1길 33 (사당동,(지하1층))",파파코,37.47723306,126.979508,서울특별시 동작구 사당동 1044-28,서울특별시 동작구 동작대로1길 33
206,단란주점영업,서울특별시 동작구 대방동 336-12번지 ,서울특별시 동작구 상도로 78 (대방동),굿타임 노래짱,37.49955849,126.9291386,서울특별시 동작구 대방동 336-12,서울특별시 동작구 상도로 78
207,단란주점영업,서울특별시 동작구 대방동 416-4번지 ,서울특별시 동작구 여의대방로24가길 22 (대방동),우주가요주점,37.49921529,126.9211749,서울특별시 동작구 대방동 416-4,서울특별시 동작구 여의대방로24가길 22
208,단란주점영업,서울특별시 동작구 대방동 385-13번지 ,서울특별시 동작구 여의대방로36길 1 (대방동),승리,37.50426254,126.9223844,서울특별시 동작구 대방동 385-13,서울특별시 동작구 여의대방로36길 1
209,단란주점영업,서울특별시 동작구 신대방동 588-2번지 ,서울특별시 동작구 시흥대로 668 (신대방동),카라,37.49092613,126.9085592,서울특별시 동작구 신대방동 588-2,서울특별시 동작구 시흥대로 668
210,단란주점영업,서울특별시 동작구 상도동 373-86번지 ,서울특별시 동작구 상도로 199 (상도동),노래하는 포차,37.50527452,126.9406804,서울특별시 동작구 상도동 373-86,서울특별시 동작구 상도로 199
211,단란주점영업,서울특별시 동작구 사당동 145-14번지 ,"서울특별시 동작구 동작대로25길 25, 지하1층 (사당동)",모아,37.48589125,126.9808296,서울특별시 동작구 사당동 145-14,서울특별시 동작구 동작대로25길 25
212,단란주점영업,서울특별시 동작구 흑석동 43-3번지 ,서울특별시 동작구 서달로14길 34 (흑석동),필 노래바,37.50741449,126.964763,서울특별시 동작구 흑석동 43-3,서울특별시 동작구 서달로14길 34
213,단란주점영업,서울특별시 동작구 상도동 170-10번지 ,서울특별시 동작구 상도로 206 (상도동),일번지단란주점,37.50497265,126.9415137,서울특별시 동작구 상도동 170-10,서울특별시 동작구 상도로 206
214,단란주점영업,서울특별시 동작구 사당동 265-16번지 ,서울특별시 동작구 사당로 227 (사당동),귀빈단란주점,37.48375177,126.9731999,서울특별시 동작구 사당동 265-16,서울특별시 동작구 사당로 227
215,단란주점영업,서울특별시 동작구 흑석동 43-125번지 ,서울특별시 동작구 서달로14길 38 (흑석동),엠(M)노래빠,37.50730974,126.9648752,서울특별시 동작구 흑석동 43-125,서울특별시 동작구 서달로14길 38
216,단란주점영업,서울특별시 동작구 대방동 405-11번지 ,"서울특별시 동작구 보라매로 113, 지상2층 203호 (대방동)",칠공팔공삼거리,37.49946602,126.9279008,서울특별시 동작구 대방동 405-11,서울특별시 동작구 보라매로 113
217,단란주점영업,서울특별시 동작구 노량진동 263-6번지 ,서울특별시 동작구 등용로14길 82 (노량진동),떼루아,37.51263646,126.9360407,서울특별시 동작구 노량진동 263-6,서울특별시 동작구 등용로14길 82
218,단란주점영업,서울특별시 동작구 상도동 337-14번지 ,서울특별시 동작구 상도로 99-6 (상도동),궁,37.50057472,126.9314086,서울특별시 동작구 상도동 337-14,서울특별시 동작구 상도로 99-6
219,단란주점영업,서울특별시 동작구 사당동 137-8번지 ,서울특별시 동작구 동작대로27가길 26 (사당동),치토,37.48651331,126.9808517,서울특별시 동작구 사당동 137-8,서울특별시 동작구 동작대로27가길 26
220,단란주점영업,서울특별시 동작구 신대방동 362-27번지 ,서울특별시 동작구 여의대방로24길 16 (신대방동),네박자,37.49796785,126.9211683,서울특별시 동작구 신대방동 362-27,서울특별시 동작구 여의대방로24길 16
221,단란주점영업,서울특별시 동작구 사당동 145-30번지 ,서울특별시 동작구 동작대로27가길 37 (사당동),굿타임,37.48596375,126.9811747,서울특별시 동작구 사당동 145-30,서울특별시 동작구 동작대로27가길 37
222,단란주점영업,서울특별시 동작구 노량진동 35-2번지 ,서울특별시 동작구 노량진로8길 31 (노량진동),오페라,37.51265623,126.9371162,서울특별시 동작구 노량진동 35-2,서울특별시 동작구 노량진로8길 31
223,단란주점영업,서울특별시 동작구 사당동 145-26번지 (지하1층) ,서울특별시 동작구 동작대로25길 11 (사당동),스타 7080,37.48630319,126.9813765,서울특별시 동작구 사당동 145-26,서울특별시 동작구 동작대로25길 11
224,단란주점영업,서울특별시 동작구 상도동 367-4번지 ,서울특별시 동작구 상도로 170 (상도동),팡팡,37.50408017,126.93809,서울특별시 동작구 상도동 367-4,서울특별시 동작구 상도로 170
225,단란주점영업,서울특별시 동작구 사당동 145-11번지 ,서울특별시 동작구 동작대로27가길 36 (사당동),SBS노래주점,37.48601715,126.9809821,서울특별시 동작구 사당동 145-11,서울특별시 동작구 동작대로27가길 36
226,단란주점영업,서울특별시 동작구 상도동 188-4번지 ,서울특별시 동작구 상도로 152 (상도동),파티파티,37.50293565,126.9362789,서울특별시 동작구 상도동 188-4,서울특별시 동작구 상도로 152
227,단란주점영업,서울특별시 동작구 흑석동 52-26번지 ,서울특별시 동작구 서달로14길 8 (흑석동),파티파티 노래주점,37.50786291,126.9635143,서울특별시 동작구 흑석동 52-26,서울특별시 동작구 서달로14길 8
228,단란주점영업,서울특별시 동작구 본동 165-5번지 ,"서울특별시 동작구 노량진로 234, 지하1층 (본동)",희와준단란주점,37.51247722,126.9519307,서울특별시 동작구 본동 344-21,서울특별시 동작구 노량진로 234
229,단란주점영업,서울특별시 동작구 대방동 405-11번지 204호,서울특별시 동작구 보라매로 113 (대방동),노리터 노래타운,37.49946602,126.9279008,서울특별시 동작구 대방동 405-11,서울특별시 동작구 보라매로 113
230,단란주점영업,서울특별시 동작구 사당동 147-69번지 ,서울특별시 동작구 동작대로27가길 39 (사당동),킹카,37.48586257,126.9811659,서울특별시 동작구 사당동 147-69,서울특별시 동작구 동작대로27가길 39
