,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y)
92,1236680,2015,초등학교,문창초교,0,15310,0,신대방동 639,37.4897018,126.9123179
93,1236682,2015,초등학교,상도초교,0,14800,0,상도동 238-1,36.01026355,129.3547589
94,1236683,2015,초등학교,신길초교,0,12901,0,대방동 산28-1,37.423285,126.7835048
95,1236684,2015,초등학교,신남성초교,0,12274,0,사당동 199-1,37.48854685,126.9652861
96,1236685,2015,초등학교,신상도초교,0,14350,0,상도동 산65,37.5000468,126.9417581
97,1236687,2015,초등학교,은로초교,0,21658,0,흑석동 245,36.25393365,127.3457841
98,1236688,2015,초등학교,흑석초교,0,10827,0,흑석동 7-1,37.50860889,126.9651515
99,1236689,2015,초등학교,지운초교(미개설),0,5706,0,상도동 134-136,37.4948944,126.950734
100,1236690,2015,초등학교,중대부속초교,0,12868,0,흑석동 233,37.5061297,126.9603504
101,1236691,2015,초등학교,보라매초교,0,7299,0,신대방동 485,37.4955526,126.9142213
102,1236692,2015,초등학교,정금초교(삼일초교),0,7042,0,사당동 산18-34,37.4879478,126.9729826
103,1236693,2015,중학교,국사봉중학교,0,16722,0,상도동 214-437,37.49392269,126.9450308
104,1236694,2015,중학교,남성중학교,0,9157,0,사당동 304-45,37.47883225,126.9723845
105,1236695,2015,중학교,동작중학교,0,14905,0,동작동 59-1,37.49502161,126.9772724
106,1236696,2015,중학교,문창중학교,0,9571,0,신대방동 364-58,37.49580305,126.921795
107,1236697,2015,중학교,사당중학교,0,12512,0,사당동 209-16,37.48752759,126.9690137
108,1236698,2015,중학교,상도중학교,0,20010,0,사당동 181-20,37.4903824,126.9615329
109,1236699,2015,중학교,장승중학교,0,10710,0,상도동 175-1,37.50333533,126.9405967
110,1236700,2015,중학교,강현중학교,0,15398,0,상도동 335-5,37.50311268,126.9311044
111,1236701,2015,중학교,대방여자중,0,13977,0,신대방동 492-200,37.49515406,126.9137645
112,1236702,2015,중학교,상현중학교,0,20000,0,상도동 111-52,37.49414042,126.9612891
113,1236704,2015,중학교,중대부속남·여중·고교,0,16372,0,흑석동 86,37.50442011,126.9613625
114,1236705,2015,중학교,학교,0,0,0,흑석동 60일대,37.50424412,126.9647396
115,1236706,2015,고등학교,"동작고교,행림초교",0,28339,0,사당동 236-4,37.48217181,126.966059
116,1236707,2015,고등학교,수도여고,0,17388,0,신대방동 470-13,37.49304934,126.9155622
