,표준ID,ARS-ID,정류장명,X좌표,Y좌표,비고,지번주소,도로명주소,법정동
163,119900071,20518,대림아파트후문,126.97218463709999,37.4886519328,,서울특별시 동작구 사당동 169-25,서울특별시 동작구 사당로23길 137,사당동
164,119900070,20519,자이아파트상가앞,126.963155966,37.4886828031,,서울특별시 동작구 사당동 1139,서울특별시 동작구 사당로2가길 123,사당동
165,119900069,20520,삼성래미안아파트,126.959194006,37.4981241659,,서울특별시 동작구 상도동 421,서울특별시 동작구 상도로55길 47,상도동
166,119900068,20521,충남정육점,126.9399699471,37.4989765149,,서울특별시 동작구 상도동 210-361,서울특별시 동작구 양녕로25바길 48,상도동
167,119900067,20522,당곡중.고등학교,126.9354612976,37.4929709888,,서울특별시 동작구 상도동 산 80-30,서울특별시 동작구 국사봉길 175,상도동
168,119900066,20523,동작실버센터입구,126.9561190848,37.5131885838,,서울특별시 동작구 본동 10-23,서울특별시 동작구 노량진로32길 10,본동
169,119900065,20524,대림프라자,126.9738757634,37.4839260244,,서울특별시 동작구 사당동 708-530,서울특별시 동작구 사당로17길 17,사당동
170,119900315,20526,롯데캐슬,126.9712716065,37.4898234441,,서울특별시 동작구 사당동 1149,서울특별시 동작구 사당로23길 172,사당동
171,119900063,20527,보라매공원입구,126.9178883667,37.4968672659,,서울특별시 동작구 신대방동 722,서울특별시 동작구 여의대방로 112,신대방동
172,119900264,20528,강현중학교,126.9278709369,37.5020677375,,서울특별시 동작구 대방동 466-10,서울특별시 동작구 대방동길 29,대방동
173,119900062,20529,구중앙슈퍼앞,126.93550399200001,37.4946119215,,서울특별시 동작구 상도동 282-7,서울특별시 동작구 국사봉1길 193,상도동
174,119900061,20530,유앤미아파트,126.9603460914,37.5009999769,,서울특별시 동작구 흑석동 79-201,서울특별시 동작구 서달로 83,흑석동
175,119900318,20531,로고스교회,126.93181858870001,37.4976031201,,서울특별시 동작구 상도동 256-151,서울특별시 동작구 국사봉1길 87,상도동
176,119900260,20532,극동아파트112동,126.9763367116,37.4887729056,,서울특별시 동작구 사당동 105,서울특별시 동작구 동작대로29길 119,사당동
177,119900060,20533,삼일공원,126.9738555209,37.4868510064,,서울특별시 동작구 사당동 산 24-17,서울특별시 동작구 사당로23길 84,사당동
178,119900320,20534,사당종합체육관,126.9696348409,37.4925240349,,서울특별시 동작구 사당동 산 21-9,서울특별시 동작구 사당로27길 245,사당동
179,119900059,20535,숭실대후문,126.9610345638,37.495095278600004,,서울특별시 동작구 상도동 512,서울특별시 동작구 서달로 4,상도동
180,119900058,20536,화성목욕탕,126.9406672593,37.4996265622,,서울특별시 동작구 상도동 202-240,서울특별시 동작구 성대로 192,상도동
181,119900057,20537,갑을명가아파트,126.9345740345,37.4936940869,,서울특별시 동작구 상도동 459,서울특별시 동작구 국사봉길 175,상도동
182,119900055,20539,사당시장,126.9751266748,37.4830900688,,서울특별시 동작구 사당동 318-5,서울특별시 동작구 사당로 248,사당동
183,119900054,20540,롯데캐슬아파트,126.9430908619,37.4968433468,,서울특별시 동작구 상도동 217-10,서울특별시 동작구 양녕로 174,상도동
184,119900263,20541,삼거리,126.96830260959999,37.4855998149,,서울특별시 동작구 사당동 226-5,서울특별시 동작구 솔밭로 105,사당동
185,119900053,20542,대방어린이도서관,126.9254812795,37.5029619498,,서울특별시 동작구 대방동 375-74,서울특별시 동작구 대방동길 56,대방동
186,119900052,20543,성심슈퍼,126.93441556959999,37.4951429733,,서울특별시 동작구 상도동 282-28,서울특별시 동작구 국사봉1길 172,상도동
187,119900051,20544,중앙빌리지.동부센트레빌,126.96025636370001,37.5017100155,,서울특별시 동작구 흑석동 250-2,서울특별시 동작구 서달로 91,흑석동
188,119900319,20545,롯데캐슬.샤인,126.9715309051,37.4910601897,,서울특별시 동작구 사당동 산 21-15,서울특별시 동작구 사당로27길 190,사당동
189,119900050,20546,남성초등학교.사당청소년문화의집,126.97484074399999,37.4860104896,,서울특별시 동작구 사당동 산 24-17,서울특별시 동작구 사당로23길 64,사당동
190,119900049,20547,신남성초교후문,126.9645998909,37.4890283675,,서울특별시 동작구 사당동 196,서울특별시 동작구 사당로 146,사당동
191,119900048,20548,장은해그린아파트,126.96265855829999,37.4928971104,,서울특별시 동작구 사당동 산 31-33,서울특별시 동작구 사당로2가길 10-3,사당동
192,119900047,20549,현대아이파크,126.9416027519,37.5008885718,,서울특별시 동작구 상도동 201-38,서울특별시 동작구 장승배기로 26,상도동
193,119900046,20550,영은교회,126.9340950389,37.4943957803,,서울특별시 동작구 상도동 285-25,서울특별시 동작구 국사봉길 155,상도동
194,119900044,20552,이수시너스.이수역7번출구,126.981784401,37.483864431,,서울특별시 동작구 사당동 1112,서울특별시 동작구 동작대로 81,사당동
195,119900043,20554,갑을명가,126.9666767567,37.4825265993,,서울특별시 동작구 사당동 708-743,서울특별시 동작구 사당로8길 73,사당동
196,119900042,20555,성남중고,126.9253134035,37.5045784206,,서울특별시 동작구 대방동 375-1,서울특별시 동작구 대방동길 71,대방동
197,119900041,20556,청운종합복지관,126.93344032200001,37.4955668475,,서울특별시 동작구 상도동 292-56,서울특별시 동작구 국사봉1가길 2,상도동
198,119900040,20557,은로초등학교,126.9609555626,37.503467397899996,,서울특별시 동작구 흑석동 86-188,서울특별시 동작구 서달로 110-1,흑석동
199,119900321,20558,롯데캐슬.샤인,126.9710373786,37.4910878562,,서울특별시 동작구 사당동 176-50,서울특별시 동작구 사당로27길 205,사당동
200,119900039,20559,동작삼일수영장,126.9747984396,37.4873936762,,서울특별시 동작구 사당동 164-72,서울특별시 동작구 사당로23나길 16,사당동
201,119900038,20560,삼거리우편물취급소,126.9770554226,37.4841645764,,서울특별시 동작구 사당동 산 24-33,서울특별시 동작구 사당로23길 57-14,사당동
202,119900037,20561,사당.인정아파트,126.9649635841,37.4899710309,,서울특별시 동작구 사당동 산 31-39,서울특별시 동작구 사당로2길 72,사당동
203,119900034,20564,선재유통,126.9328021506,37.4946581742,,서울특별시 동작구 상도동 293-6,서울특별시 동작구 국사봉길 129,상도동
204,119900033,20565,중앙대병원,126.9607327929,37.507689887,,서울특별시 동작구 흑석동 86-181,서울특별시 동작구 흑석로 101,흑석동
205,119900031,20567,밤골터널,126.945843539,37.5016754522,,서울특별시 동작구 상도동 159-19,서울특별시 동작구 상도로34길 76,상도동
