tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,P0OHkI-Z5b-ykCsOeTEE8YNBM1j47n6W9dOzfiUssdRCbw,GoongTube,211,312,297,False,False,True,True
GRANDMASTER,DHquCzWvWgfiZewIp98xU-cQ6xohmxbnu6Zn9HkJfdb2F-M,부족한제탓입니다,233,64,35,False,False,True,True
GRANDMASTER,iS3Cej5j7sf-M0ayv3TCoOH736nteHpnCxx3s4bC9_e1gPI,galbimando,470,217,205,False,False,False,False
GRANDMASTER,M5C6zATMdtDaxQhgSAZukDr-rRugrNxxN6W4xxfkTW5V30E,zhuzhuboluo,424,271,253,True,False,False,False
GRANDMASTER,Wq3o18F6AZf9hdWVBFS9gCJ4gUJcb0nTLVBYCmHi42X_7CA,wrsIt,291,107,87,False,False,False,False
GRANDMASTER,Itnt0gqNbE1wSLpgAThTgQaXDL9V-7-Q4L0fJEyByH6KrX8,19살 이범석,496,262,219,False,False,False,False
GRANDMASTER,aInz51cIohn1qTTUsbf9aihHzjdIa8dxpjuIZ7rsQ9g9_ec,만기퇴소 전역,211,102,82,False,False,True,True
GRANDMASTER,3B9-ZrBSF1hVFISv-VJ0DCJaoHIxXkJ8N-6sdtpr0eoRaA,MAI WAY,464,115,87,False,False,False,True
GRANDMASTER,Fs8pNbMkRHel4lI9R7mAuybr_CwtfmVcM5SHghvOKVuC370,손연우 남자친구,278,190,184,False,False,True,False
GRANDMASTER,nNb1AtofGFmehQXkfvoY13F2TWGvtOJPqIGQLDN0mz6q-rY,정신나갈거같애,521,231,202,False,False,True,False
GRANDMASTER,IC6ngJyzX5PAxdBA4IkgtPyrnw4gEIbv9KtfpdvPxxnsBzA,Eerry,391,254,223,False,False,False,False
GRANDMASTER,p2MDN7jH1RFfsgFx3fALOHzlPv3Y2HUHqehicBtSPT30dQ,Ordinary peoples,320,181,163,False,False,True,False
GRANDMASTER,yUpCfnFdgR-01LkKnt4ZxLtV_ITq6WqyOMkoxphz3YMxuw,ChoGod,226,154,137,True,False,False,False
GRANDMASTER,m20cWOZ5X14MnhlADZ01RwVB3ssRP7PzDquLwLv6KQlR-gY,Cute에밀 리 아,263,362,342,False,False,True,False
GRANDMASTER,I1xCaBC3TMqMC_x8omdK1AIOI3DYi3XciKwhT9lVxOR4YQ,zer그링,412,269,237,False,False,False,False
GRANDMASTER,ogi-7Sj1XWmTLoJub1EHfN4aYJc5arPF-xI-LQyFXRWzCp8,Chainsaw Man 1,268,262,223,False,False,False,False
GRANDMASTER,MWfx1yN20TC-x8ZGGsfcRusLyr3oNSsKkKtUpWq8GFMv6mo,rqewhkjlafdsuc,427,202,169,False,False,False,False
GRANDMASTER,m0J5JLO_tRmFw_vigpAbO07VQNb0uclmTZ4OOxx1h2wI5oM,O u O O n O ,218,94,70,False,False,False,False
GRANDMASTER,Bhvt0HwKYSydkgEyvDue96zVb60gUYWDLsPb1-Sbd4b4PVU,CraftBoss,389,113,91,False,False,True,False
GRANDMASTER,3wfFqKvtSDoouwESiWIrKeh1s0bHvfw511GXmg3PVhu55w,땅꾸넝,402,459,419,False,False,False,False
GRANDMASTER,mYNOYeyEj050rf1QvlPZK_HT4vhQQd0aqJlUKTXHGEd5etA,Apolosius,316,383,367,True,False,False,False
GRANDMASTER,21r60v_kcnpGaZ2WqrW6C6SShbLdBYxDwGd4_KISnPLnlPo,wjsybnlh,451,230,208,True,False,False,False
GRANDMASTER,oZs9uoVuGDoM0c8f2mDbnrVOACod3jcLfrFPhIC_Hodr-S4,다루다루daram쥐,295,155,144,True,False,False,False
GRANDMASTER,ICXJ5Xr8rHoea3VT-pBn8HlGWx9Jq1n4977adu8OeniaWi8,LSLWYF,528,204,172,True,False,False,False
GRANDMASTER,hO3SXeUN_hR6qBL4qxRukGGhzmn6oPzULhONf07GcIGxry0,qinyu,370,129,106,False,False,False,False
GRANDMASTER,2D3c0QziXocsm22ZL-6H00Ub0ebNGLDo1i8fK2P7ntcZJVc,qiaqia,503,247,220,True,False,False,False
GRANDMASTER,josWQ2gYr8hFZCcL924J_SIVGp0PzyKuoI029n8_-JEMMco,kamoufIage,420,246,224,False,False,True,True
GRANDMASTER,5KIYNcomPhd2U3YCMUwfDT2PzpZa1o42Mvroy5dLiLDd7Hs,i want to Alive,306,318,284,False,False,False,False
GRANDMASTER,iLNjW-M17DgvhbiZrTl2syBMDVApJkO7LgJwwDg9glSB7Q,몽키  D 짱구,478,331,311,False,False,True,False
GRANDMASTER,1N7mumJqugNA8yWRnCkUqJm6an4sZfqwDb3XwK0Lr62cTw,SANDBOX KingKong,475,223,192,False,False,False,False
GRANDMASTER,-kY9gzt3zJtrY9vIhRQlyNQv71wrs4A2Lk9sSigsZqHRunk,Tangwagege,493,253,228,False,False,True,False
GRANDMASTER,dhP19Xhz97SkLN2mSqvoDgBq_kiU_in2UT46OzgzCU78eNI,vv12307,389,230,216,False,False,True,False
GRANDMASTER,IbkWQfsQfsGdM5tUuRt5Qw6exYugK1Mai-nDvUFhZxpfJsM,win very hard,437,364,353,False,False,True,False
GRANDMASTER,9T60cor2kSV_dDcy0dy6rKwJksRqXmMsUPl5QGoET2VaoQ,성훈킬,285,212,193,False,False,False,False
GRANDMASTER,Q_6THpZH6cdC5XtFNtl2tOmYUipBMlKgaEjGjbiPQrISFA8,like cz,513,110,76,False,False,False,True
GRANDMASTER,De7VGrFV45j7p-1JNWm3WkROrWbBA43kAIV7ZceUFH5nFxM,포기하지 마라고,419,188,159,False,False,False,False
GRANDMASTER,a7uqpGiI89s-yWS2RZMJDZ8gCFFDzpKq8eiAo6pJ8dFTm0M,함 알,583,361,327,True,False,False,True
GRANDMASTER,CdaQeoVNR83rBwDNZeNnxbKjW4uhTPfurwHkivPL-ldc1hs,아름다운 거품,171,185,165,True,False,False,False
GRANDMASTER,vEQ8FMsN0DX_vooS9qya5kj3RDp7z2gw5F10v2DsHBT5_RA,owowowowowowow,421,130,96,False,False,False,True
GRANDMASTER,r3eWI4X7txeNQKKDWWF_0tk_498Os1JN7tIq9OEA12hDZyk,Dictator3,401,110,90,False,False,False,False
GRANDMASTER,8jWDKMp47WHhuJhzMheezxtyo73Wi_ClN-eh8lKMfI2B0UE,Gen G Quid,474,533,503,False,False,False,True
GRANDMASTER,JmPAKroSLwDZDY-XsMTQcQgfTGo_vB8K5QAPC_UHzxP_WXg,뽀허니,368,270,252,True,False,False,False
GRANDMASTER,R-wdJ93dCOp0pPi3Qjr4iokj5lSi6SuRlBedJdJQ6b3e5qs,HLE NAKGY,520,356,237,False,False,False,False
GRANDMASTER,c1qD7AC75_vTrrWDVqgBp-A6vE8WfvUQPZWj0d0VpEBQ4A,모 모,426,73,77,False,False,False,False
GRANDMASTER,Mynxt7Ex7qTMTRy1GtiKv4MIuWIloPNhhrnkYfR9nd61pt4,솔찬입니다,471,368,264,False,False,False,False
GRANDMASTER,6GIrcHEZlNbJHL2dEQbu6g-zB2TGmRzJOV6XIykVJzo0U_Q,Just Upgrade,434,174,201,False,False,False,False
GRANDMASTER,o8ueUXT8cTabGVlafXjY5j25jOZNi4cFks6gMlC_MaZnPog,LPLLPLLPL,234,182,149,True,False,False,False
GRANDMASTER,aZ-OhUs3VBcqTk1HmHdJJoOMklpCWvD0m9sTZTyW93ZIcrw,치 열,513,177,148,True,False,False,False
