시도,시군구,행정동,latitude,longitude,sort,value
서울특별시,동작구,흑석동,37.50577502,126.9665908,h.35~39세,"2,605"
서울특별시,동작구,사당1동,37.48315533,126.9786716,h.35~39세,"2,024"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,h.35~39세,"2,344"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,h.35~39세,"2,304"
서울특별시,동작구,사당4동,37.48095899,126.9716308,h.35~39세,"1,248"
서울특별시,동작구,사당5동,37.48562502,126.9670158,h.35~39세,"1,117"
서울특별시,동작구,대방동,37.50816426,126.9263435,h.35~39세,"2,760"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,h.35~39세,"1,631"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,h.35~39세,"1,692"
서울특별시,동작구,노량진1동,37.5123068,126.9420162,i.40~44세,"2,135"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,i.40~44세,716
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,i.40~44세,"3,285"
서울특별시,동작구,상도2동,37.50546652,126.942311,i.40~44세,"2,222"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,i.40~44세,"1,774"
서울특별시,동작구,상도4동,37.50055916,126.9378048,i.40~44세,"2,159"
서울특별시,동작구,흑석동,37.50577502,126.9665908,i.40~44세,"2,406"
서울특별시,동작구,사당1동,37.48315533,126.9786716,i.40~44세,"1,493"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,i.40~44세,"2,017"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,i.40~44세,"2,031"
서울특별시,동작구,사당4동,37.48095899,126.9716308,i.40~44세,"1,042"
서울특별시,동작구,사당5동,37.48562502,126.9670158,i.40~44세,"1,065"
서울특별시,동작구,대방동,37.50816426,126.9263435,i.40~44세,"3,094"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,i.40~44세,"1,864"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,i.40~44세,"1,555"
서울특별시,동작구,노량진1동,37.5123068,126.9420162,j.45~49세,"2,307"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,j.45~49세,880
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,j.45~49세,"3,395"
서울특별시,동작구,상도2동,37.50546652,126.942311,j.45~49세,"2,285"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,j.45~49세,"2,051"
서울특별시,동작구,상도4동,37.50055916,126.9378048,j.45~49세,"2,339"
서울특별시,동작구,흑석동,37.50577502,126.9665908,j.45~49세,"2,566"
서울특별시,동작구,사당1동,37.48315533,126.9786716,j.45~49세,"1,452"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,j.45~49세,"2,113"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,j.45~49세,"1,898"
서울특별시,동작구,사당4동,37.48095899,126.9716308,j.45~49세,"1,087"
서울특별시,동작구,사당5동,37.48562502,126.9670158,j.45~49세,"1,034"
서울특별시,동작구,대방동,37.50816426,126.9263435,j.45~49세,"3,819"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,j.45~49세,"2,337"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,j.45~49세,"1,757"
서울특별시,동작구,노량진1동,37.5123068,126.9420162,k.50~54세,"2,301"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,k.50~54세,"1,061"
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,k.50~54세,"3,280"
서울특별시,동작구,상도2동,37.50546652,126.942311,k.50~54세,"2,119"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,k.50~54세,"1,958"
서울특별시,동작구,상도4동,37.50055916,126.9378048,k.50~54세,"2,219"
서울특별시,동작구,흑석동,37.50577502,126.9665908,k.50~54세,"2,657"
서울특별시,동작구,사당1동,37.48315533,126.9786716,k.50~54세,"1,481"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,k.50~54세,"2,098"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,k.50~54세,"1,817"
서울특별시,동작구,사당4동,37.48095899,126.9716308,k.50~54세,999
서울특별시,동작구,사당5동,37.48562502,126.9670158,k.50~54세,993
서울특별시,동작구,대방동,37.50816426,126.9263435,k.50~54세,"3,207"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,k.50~54세,"1,885"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,k.50~54세,"1,410"
서울특별시,동작구,노량진1동,37.5123068,126.9420162,l.55~59세,"2,489"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,l.55~59세,"1,212"
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,l.55~59세,"3,144"
서울특별시,동작구,상도2동,37.50546652,126.942311,l.55~59세,"2,047"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,l.55~59세,"1,935"
서울특별시,동작구,상도4동,37.50055916,126.9378048,l.55~59세,"2,305"
서울특별시,동작구,흑석동,37.50577502,126.9665908,l.55~59세,"2,604"
서울특별시,동작구,사당1동,37.48315533,126.9786716,l.55~59세,"1,708"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,l.55~59세,"2,195"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,l.55~59세,"1,945"
서울특별시,동작구,사당4동,37.48095899,126.9716308,l.55~59세,"1,170"
서울특별시,동작구,사당5동,37.48562502,126.9670158,l.55~59세,"1,031"
서울특별시,동작구,대방동,37.50816426,126.9263435,l.55~59세,"2,668"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,l.55~59세,"1,769"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,l.55~59세,"1,295"
서울특별시,동작구,노량진1동,37.5123068,126.9420162,m.60~64세,"2,377"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,m.60~64세,"1,109"
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,m.60~64세,"2,978"
서울특별시,동작구,상도2동,37.50546652,126.942311,m.60~64세,"1,899"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,m.60~64세,"1,809"
서울특별시,동작구,상도4동,37.50055916,126.9378048,m.60~64세,"2,078"
서울특별시,동작구,흑석동,37.50577502,126.9665908,m.60~64세,"2,258"
서울특별시,동작구,사당1동,37.48315533,126.9786716,m.60~64세,"1,734"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,m.60~64세,"2,202"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,m.60~64세,"1,916"
서울특별시,동작구,사당4동,37.48095899,126.9716308,m.60~64세,"1,113"
서울특별시,동작구,사당5동,37.48562502,126.9670158,m.60~64세,916
서울특별시,동작구,대방동,37.50816426,126.9263435,m.60~64세,"2,308"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,m.60~64세,"1,686"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,m.60~64세,"1,191"
서울특별시,동작구,노량진1동,37.5123068,126.9420162,n.65~69세,"1,729"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,n.65~69세,846
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,n.65~69세,"2,083"
서울특별시,동작구,상도2동,37.50546652,126.942311,n.65~69세,"1,360"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,n.65~69세,"1,281"
서울특별시,동작구,상도4동,37.50055916,126.9378048,n.65~69세,"1,549"
서울특별시,동작구,흑석동,37.50577502,126.9665908,n.65~69세,"1,680"
서울특별시,동작구,사당1동,37.48315533,126.9786716,n.65~69세,"1,282"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,n.65~69세,"1,640"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,n.65~69세,"1,522"
서울특별시,동작구,사당4동,37.48095899,126.9716308,n.65~69세,849
서울특별시,동작구,사당5동,37.48562502,126.9670158,n.65~69세,696
서울특별시,동작구,대방동,37.50816426,126.9263435,n.65~69세,"1,765"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,n.65~69세,"1,176"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,n.65~69세,902
서울특별시,동작구,노량진1동,37.5123068,126.9420162,o.70~74세,"1,345"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,o.70~74세,672
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,o.70~74세,"1,785"
서울특별시,동작구,상도2동,37.50546652,126.942311,o.70~74세,"1,105"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,o.70~74세,"1,140"
서울특별시,동작구,상도4동,37.50055916,126.9378048,o.70~74세,"1,272"
서울특별시,동작구,흑석동,37.50577502,126.9665908,o.70~74세,"1,361"
서울특별시,동작구,사당1동,37.48315533,126.9786716,o.70~74세,"1,071"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,o.70~74세,"1,377"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,o.70~74세,"1,181"
서울특별시,동작구,사당4동,37.48095899,126.9716308,o.70~74세,728
서울특별시,동작구,사당5동,37.48562502,126.9670158,o.70~74세,559
서울특별시,동작구,대방동,37.50816426,126.9263435,o.70~74세,"1,388"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,o.70~74세,891
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,o.70~74세,797
서울특별시,동작구,노량진1동,37.5123068,126.9420162,p.75~79세,"1,137"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,p.75~79세,541
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,p.75~79세,"1,295"
서울특별시,동작구,상도2동,37.50546652,126.942311,p.75~79세,836
