,개방서비스명,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
417,단란주점영업,서울특별시 동작구 상도동 373-86번지 ,서울특별시 동작구 상도로 199 (상도동),노래하는 포차,단란주점,37.50527452,126.9406804
418,단란주점영업,서울특별시 동작구 사당동 145-14번지 ,"서울특별시 동작구 동작대로25길 25, 지하1층 (사당동)",모아,단란주점,37.48589125,126.9808296
419,단란주점영업,서울특별시 동작구 흑석동 43-3번지 ,서울특별시 동작구 서달로14길 34 (흑석동),필 노래바,단란주점,37.50741449,126.964763
420,단란주점영업,서울특별시 동작구 상도동 170-10번지 ,서울특별시 동작구 상도로 206 (상도동),일번지단란주점,단란주점,37.50497265,126.9415137
421,단란주점영업,서울특별시 동작구 사당동 265-16번지 ,서울특별시 동작구 사당로 227 (사당동),귀빈단란주점,단란주점,37.48375177,126.9731999
422,단란주점영업,서울특별시 동작구 흑석동 43-125번지 ,서울특별시 동작구 서달로14길 38 (흑석동),엠(M)노래빠,단란주점,37.50730974,126.9648752
423,단란주점영업,서울특별시 동작구 대방동 405-11번지 ,"서울특별시 동작구 보라매로 113, 지상2층 203호 (대방동)",칠공팔공삼거리,단란주점,37.49946602,126.9279008
424,단란주점영업,서울특별시 동작구 노량진동 263-6번지 ,서울특별시 동작구 등용로14길 82 (노량진동),떼루아,단란주점,37.51263646,126.9360407
425,단란주점영업,서울특별시 동작구 상도동 337-14번지 ,서울특별시 동작구 상도로 99-6 (상도동),궁,단란주점,37.50057472,126.9314086
426,단란주점영업,서울특별시 동작구 사당동 137-8번지 ,서울특별시 동작구 동작대로27가길 26 (사당동),치토,단란주점,37.48651331,126.9808517
427,단란주점영업,서울특별시 동작구 신대방동 362-27번지 ,서울특별시 동작구 여의대방로24길 16 (신대방동),네박자,단란주점,37.49796785,126.9211683
428,단란주점영업,서울특별시 동작구 사당동 145-30번지 ,서울특별시 동작구 동작대로27가길 37 (사당동),굿타임,단란주점,37.48596375,126.9811747
429,단란주점영업,서울특별시 동작구 노량진동 35-2번지 ,서울특별시 동작구 노량진로8길 31 (노량진동),오페라,단란주점,37.51265623,126.9371162
430,단란주점영업,서울특별시 동작구 사당동 145-26번지 (지하1층) ,서울특별시 동작구 동작대로25길 11 (사당동),스타 7080,단란주점,37.48630319,126.9813765
431,단란주점영업,서울특별시 동작구 상도동 367-4번지 ,서울특별시 동작구 상도로 170 (상도동),팡팡,단란주점,37.50408017,126.93809
